aggregation_group;device;num_requests;num_frames;mean_excess_latency_s;mean_percent_excess;total_energy_j;requests_per_joule;frames_per_joule;max_temperature_c;mean_temperature_c;min_temperature_c;max_gpu_freq_mhz;avg_gpu_freq_mhz;min_gpu_freq_mhz;num_time_out;percent_time_out;percent_requests_within_constraint;percent_frames_within_constraint;percent_completed_frames_within_constraint
loud_pred (T-40);agx;11702;11702;0,5462;4,2349;9940,4620;1,1772;1,1772;47,5000;43,8764;41,0000;1032;671,9593;114;0;0,0000;91,5570;91,5570;91,5570
loud_pred (T-40);nano0;11702;11702;0,5462;4,2349;1800,5718;6,4990;6,4990;25,5000;22,5589;20,5000;921;141,9845;76;0;0,0000;91,5570;91,5570;91,5570
loud_pred (T-40);nano1;11702;11702;0,5462;4,2349;1859,8358;6,2920;6,2920;30,0000;26,1463;24,5000;921;153,4858;76;0;0,0000;91,5570;91,5570;91,5570
loud_pred (T-40);nx0;11702;11702;0,5462;4,2349;6249,9704;1,8723;1,8723;47,5000;43,0928;38,5000;1007;505,2160;114;0;0,0000;91,5570;91,5570;91,5570
loud_pred (T-40);nx1;11702;11702;0,5462;4,2349;4676,7906;2,5021;2,5021;45,0000;41,7050;39,5000;1007;277,5338;114;0;0,0000;91,5570;91,5570;91,5570
loud_pred (T-50);agx;12641;12641;0,8136;8,9498;11082,2732;1,1407;1,1407;46,5000;43,6508;42,0000;1032;565,9803;114;0;0,0000;86,0612;86,0612;86,0612
loud_pred (T-50);nano0;12641;12641;0,8136;8,9498;2318,7620;5,4516;5,4516;25,5000;22,6140;20,5000;921;150,2782;76;0;0,0000;86,0612;86,0612;86,0612
loud_pred (T-50);nano1;12641;12641;0,8136;8,9498;2334,4512;5,4150;5,4150;30,0000;26,5468;25,0000;921;145,6789;76;0;0,0000;86,0612;86,0612;86,0612
loud_pred (T-50);nx0;12641;12641;0,8136;8,9498;7576,1672;1,6685;1,6685;47,0000;43,5309;38,0000;1007;501,1603;114;0;0,0000;86,0612;86,0612;86,0612
loud_pred (T-50);nx1;12641;12641;0,8136;8,9498;5564,4028;2,2718;2,2718;44,5000;41,8192;40,0000;1007;248,9626;114;0;0,0000;86,0612;86,0612;86,0612
loud_pred (T-60);agx;12473;12473;2,5917;20,6269;10533,2576;1,1842;1,1842;46,5000;43,7932;42,0000;1032;582,2759;114;0;0,0000;77,3992;77,3992;77,3992
loud_pred (T-60);nano0;12473;12473;2,5917;20,6269;2338,2704;5,3343;5,3343;26,5000;22,2781;20,0000;921;211,2979;76;0;0,0000;77,3992;77,3992;77,3992
loud_pred (T-60);nano1;12473;12473;2,5917;20,6269;2364,0254;5,2762;5,2762;30,5000;26,4153;24,5000;921;205,8649;76;0;0,0000;77,3992;77,3992;77,3992
loud_pred (T-60);nx0;12473;12473;2,5917;20,6269;6567,4876;1,8992;1,8992;47,5000;43,2495;38,0000;1007;424,1870;114;0;0,0000;77,3992;77,3992;77,3992
loud_pred (T-60);nx1;12473;12473;2,5917;20,6269;5136,6702;2,4282;2,4282;44,0000;41,3723;39,5000;1007;260,5925;114;0;0,0000;77,3992;77,3992;77,3992
loud_pred (T-70);agx;10431;10431;0,4169;6,0369;10487,2120;0,9946;0,9946;46,0000;42,7798;41,0000;1032;583,4213;114;0;0,0000;91,9663;91,9663;91,9663
loud_pred (T-70);nano0;10431;10431;0,4169;6,0369;1875,9416;5,5604;5,5604;25,0000;21,3827;19,0000;921;108,3997;76;0;0,0000;91,9663;91,9663;91,9663
loud_pred (T-70);nano1;10431;10431;0,4169;6,0369;1895,4554;5,5032;5,5032;28,5000;25,3981;24,0000;921;107,5276;76;0;0,0000;91,9663;91,9663;91,9663
loud_pred (T-70);nx0;10431;10431;0,4169;6,0369;7562,3858;1,3793;1,3793;47,5000;43,3595;38,0000;1007;592,1864;114;0;0,0000;91,9663;91,9663;91,9663
loud_pred (T-70);nx1;10431;10431;0,4169;6,0369;4948,5394;2,1079;2,1079;42,5000;40,4633;38,5000;1007;224,8377;114;0;0,0000;91,9663;91,9663;91,9663
loud_pred (T-80);agx;14970;14970;15,8447;101,2201;12028,8652;1,2445;1,2445;46,0000;43,3965;42,0000;1032;495,0320;114;0;0,0000;67,8156;67,8156;67,8156
loud_pred (T-80);nano0;14970;14970;15,8447;101,2201;3382,1600;4,4262;4,4262;31,5000;23,1847;19,5000;921;263,4418;76;0;0,0000;67,8156;67,8156;67,8156
loud_pred (T-80);nano1;14970;14970;15,8447;101,2201;3357,6398;4,4585;4,4585;36,0000;27,5476;24,5000;921;255,6362;76;0;0,0000;67,8156;67,8156;67,8156
loud_pred (T-80);nx0;14970;14970;15,8447;101,2201;8549,8118;1,7509;1,7509;47,5000;43,6389;38,0000;1007;485,6796;114;0;0,0000;67,8156;67,8156;67,8156
loud_pred (T-80);nx1;14970;14970;15,8447;101,2201;6161,7388;2,4295;2,4295;44,5000;41,4177;39,0000;1007;221,7054;114;0;0,0000;67,8156;67,8156;67,8156
loud_prof (T-40);agx;11702;11702;0,5836;4,8225;10213,2658;1,1458;1,1458;49,5000;44,0559;41,5000;1377;610,4525;114;0;0,0000;90,2923;90,2923;90,2923
loud_prof (T-40);nano0;11702;11702;0,5836;4,8225;1917,6590;6,1022;6,1022;27,0000;22,6841;21,0000;921;162,8416;76;0;0,0000;90,2923;90,2923;90,2923
loud_prof (T-40);nano1;11702;11702;0,5836;4,8225;1893,2024;6,1811;6,1811;30,0000;26,2939;25,0000;921;147,5839;76;0;0,0000;90,2923;90,2923;90,2923
loud_prof (T-40);nx0;11702;11702;0,5836;4,8225;6681,9106;1,7513;1,7513;47,5000;43,5053;40,0000;1109;582,2401;114;0;0,0000;90,2923;90,2923;90,2923
loud_prof (T-40);nx1;11702;11702;0,5836;4,8225;4724,1960;2,4770;2,4770;45,0000;41,8520;40,0000;1007;273,7320;114;0;0,0000;90,2923;90,2923;90,2923
loud_prof (T-50);agx;12641;12641;0,8115;8,6274;11256,2064;1,1230;1,1230;48,5000;43,7371;42,0000;1377;517,7594;114;0;0,0000;85,3413;85,3413;85,3413
loud_prof (T-50);nano0;12641;12641;0,8115;8,6274;2264,5988;5,5820;5,5820;26,0000;22,4725;20,0000;921;137,1124;76;0;0,0000;85,3413;85,3413;85,3413
loud_prof (T-50);nano1;12641;12641;0,8115;8,6274;2259,7604;5,5940;5,5940;30,0000;26,4321;24,5000;921;128,8055;76;0;0,0000;85,3413;85,3413;85,3413
loud_prof (T-50);nx0;12641;12641;0,8115;8,6274;8037,4544;1,5728;1,5728;47,5000;42,8452;38,0000;1109;578,1318;114;0;0,0000;85,3413;85,3413;85,3413
loud_prof (T-50);nx1;12641;12641;0,8115;8,6274;5496,7568;2,2997;2,2997;44,5000;41,6239;39,5000;1109;254,0892;114;0;0,0000;85,3413;85,3413;85,3413
loud_prof (T-60);agx;12473;12473;5,2663;32,4807;10050,1960;1,2411;1,2411;47,5000;43,8738;42,0000;1377;618,6908;114;0;0,0000;73,8876;73,8876;73,8876
loud_prof (T-60);nano0;12473;12473;5,2663;32,4807;2389,8308;5,2192;5,2192;28,0000;22,8295;20,5000;921;249,5095;76;0;0,0000;73,8876;73,8876;73,8876
loud_prof (T-60);nano1;12473;12473;5,2663;32,4807;2396,0176;5,2057;5,2057;33,5000;27,0468;24,5000;921;242,2828;76;0;0,0000;73,8876;73,8876;73,8876
loud_prof (T-60);nx0;12473;12473;5,2663;32,4807;7293,5018;1,7102;1,7102;47,5000;43,7947;38,0000;1109;599,9587;114;0;0,0000;73,8876;73,8876;73,8876
loud_prof (T-60);nx1;12473;12473;5,2663;32,4807;5180,4032;2,4077;2,4077;45,0000;42,0290;40,0000;1007;324,3009;114;0;0,0000;73,8876;73,8876;73,8876
loud_prof (T-70);agx;10431;10431;0,6530;8,4663;9953,7522;1,0479;1,0479;45,0000;42,6074;41,5000;1032;484,2146;114;0;0,0000;92,3497;92,3497;92,3497
loud_prof (T-70);nano0;10431;10431;0,6530;8,4663;1900,6278;5,4882;5,4882;23,5000;21,2066;19,5000;921;117,8849;76;0;0,0000;92,3497;92,3497;92,3497
loud_prof (T-70);nano1;10431;10431;0,6530;8,4663;1874,9434;5,5634;5,5634;27,5000;25,3295;24,0000;921;103,6476;76;0;0,0000;92,3497;92,3497;92,3497
loud_prof (T-70);nx0;10431;10431;0,6530;8,4663;8140,0642;1,2814;1,2814;47,5000;43,4398;38,0000;1007;712,2785;114;0;0,0000;92,3497;92,3497;92,3497
loud_prof (T-70);nx1;10431;10431;0,6530;8,4663;4921,8840;2,1193;2,1193;42,0000;40,2299;39,0000;1058;216,8016;114;0;0,0000;92,3497;92,3497;92,3497
loud_prof (T-80);agx;14970;14970;23,7053;148,2022;12398,4794;1,2074;1,2074;45,5000;43,4607;42,0000;1377;445,3793;114;0;0,0000;66,5464;66,5464;66,5464
loud_prof (T-80);nano0;14970;14970;23,7053;148,2022;3713,6622;4,0311;4,0311;35,0000;24,2003;20,0000;921;235,8628;76;0;0,0000;66,5464;66,5464;66,5464
loud_prof (T-80);nano1;14970;14970;23,7053;148,2022;3684,2396;4,0633;4,0633;40,5000;28,6542;24,0000;921;228,1826;76;0;0,0000;66,5464;66,5464;66,5464
loud_prof (T-80);nx0;14970;14970;23,7053;148,2022;8819,7120;1,6973;1,6973;47,0000;43,4013;38,0000;1007;486,0573;114;0;0,0000;66,5464;66,5464;66,5464
loud_prof (T-80);nx1;14970;14970;23,7053;148,2022;6448,0552;2,3216;2,3216;47,0000;41,7751;39,0000;1109;199,4585;114;0;0,0000;66,5464;66,5464;66,5464
